	hybase1	hybase1	hybase1	hybase2	hybase2	hybase2	hybase2	hybase2	hybase2	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase10	hybase10	hybase10	hybase10	hybase10	hybase10	hybase32	hybase32	hybase32	hybase41	hybase41	hybase41	hybase41	hybase41	hybase41	hybase45	hybase45
ACBD4	0	0	0	0	0	0	12.5	0	0	0	0	0	0	19.9	0	8.79	9.71	3.7	36	13.65	3.37	3.81	3.03	18.09	3.66	0	4.78	0	0	0	0	0	6.04	5.42	26.29	52.4
ACBD5	0	0	0	0	10.9	4.94	0	0	0	2.2	0	0	0	11.7	14.7	44.86	15.76	0	0	0	29.3	7.96	0	0	14.7	0	0	0	5.17	4.75	3.42	2.48	2.68	2.92	18.76	4.7
ACBD6	6.21	3.05	22.6	0	74.2	0	9.63	10.2	0	4.18	3.51	3.09	2.69	2.89	10.02	15.4	8.55	11.2	4.04	6.98	6.15	7.37	4.68	4.95	6.89	8.56	11.4	1.98	5.27	5.49	7.52	6.36	5.82	6.97	72.3	90.8
ACBD7	1.93	7.13	0	0	0	54.37	0	0	0	2.89	18.8	0	0	7.53	13.9	0	22.05	0	0	10.4	11.7	7.08	0	4.62	0	0	0	0	9.52	9.26	9.86	7.62	0	0	3.12	0
ACCS	14.3	10	0	0	0	0	8.22	0	0	6.36	0	0	7.95	0	0	10.8	0	5.03	7.49	16.1	3.58	12.4	4.65	14.6	3.68	0	3.15	0	0	0	0	0	2.8	3.35	2.76	2.81
ACD	0	0	4.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.69	0	2.07	4.08	0	0	4.36	0	1.54	0	1.61	3.39	1.57	0	3.38	3.61	15.55	20.29
ACE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.38	6.1	14.2	28.7	6.21	4.27	0	0	0	0	0	0	0	15.55	7.56	23.7	29.27
ACER2	25.92	11.9	0	0	0	0	26.62	0	0	23.7	17.7	21.5	0	25.54	24.8	8.59	9.7	16.6	30.26	7.38	6.5	4.87	3.5	6.63	0	0	0	0	0	0	11.3	0	0	0	0	0
ACER3	4.06	3.05	0	0	0	0	0	0	0	4.53	0	16.3	0	4.82	9.08	0	17	18.99	10.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.9	39.1
ACHE	10.8	12.5	0	0	0	0	0	0	0	12.7	0	0	0	18.1	33.3	0	0	10.4	0	31.92	39.37	22.71	27.83	22.28	15.69	0	0	0	0	0	0	0	0	0	46.7	71.47
ACIN1	25.33	11.36	4.64	0	190	0	7.65	0	0	33.76	16.51	23.08	21.68	16.15	26.38	41.69	37.28	36.78	17.21	16.58	21.24	18.54	19.86	23.37	27.14	26.45	34.62	11.39	24.61	25.97	24.94	23.94	24.81	28.05	79.89	75.05
ACKR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR2	0	0	0	0	0	16.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR3	0	0	0	102.3	85.9	37.52	148.7	19.22	0	0	0	0	0	14	6.73	8.2	0	27.05	41.63	43	16.83	39.11	26.68	15.97	27.97	0	0	0	24.6	13.17	21.45	21.16	0	6.19	0	0
ACLY	0	0	0	16.3	87.1	0	0	0	0	1.66	2.01	0	0	2.32	2.01	0	0	1.53	1.35	4.61	4.17	5.5	4.21	5.07	6.11	3.31	13.17	1.63	4.14	5.81	5	0	7.31	6.88	14.3	12.81
ACO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.92	19.5
ACO2	18.19	12.7	111.08	22.7	93.19	14.97	22.24	130.6	0	6.87	8.41	9.62	18.92	7.98	8.12	21.75	15.25	10.9	12	27.91	21.9	6.19	5.82	8.55	7.26	7.29	5.23	5.71	8.8	10.38	8.86	7.35	14.5	12.48	6.81	9.92
ACOT1	3.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT11	0	0	0	0	0	0	10.8	0	0	0	0	0	0	26.04	0	12	0	11.1	0	20.4	13.63	16.63	11.11	8.21	5.4	0	0	0	0	13.8	0	0	0	0	32.6	11.66
ACOT13	13.13	4.39	0	0	6.47	0	96.6	0	0	4.97	13	13.1	9.57	19.6	11.2	12.96	12.78	11.74	5.09	0	5.28	10.6	7.98	5.57	4.71	8.97	12.21	4.08	5.01	0	0	0	0	3.85	4.92	5.58
ACOT2	5.21	6.33	36.1	22.8	42.9	25.9	20.6	39.6	0	2.74	0	5.73	7.51	10.8	0	5.23	31.4	5.36	4.67	16.7	27.7	27.4	29.6	30.4	6.18	5.18	5.43	5.32	0	0	0	0	5.32	7.88	76.2	141
ACOT7	0	0	0	0	28.26	0	10.12	0	0	3.66	0	13.7	3.69	5.38	0	32.4	24.6	9.71	3.95	13.1	10.4	5.6	0	7.22	2.95	7.37	22.04	1.64	13.36	7.12	6.06	5.74	8.89	5.88	72.19	45.72
ACOT8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9	8.71	0	5.09	0	0	0	0	3.48	0	0	0	0	0	0	0	0	0	0	3.92	4.56
ACOT9	2.23	0	0	0	13.6	0	0	0	0	0	0	0	6.14	0	3.98	0	3.48	2.44	2.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOX1	0	0	0	0	0	10.02	0	0	0	0	0	0	5.6	0	10.3	3.36	17	2.73	0	0	0	0	0	2.42	20.6	0	0	0	4.72	6.25	5.96	3.13	5.02	3.27	19.01	20.47
ACOX3	5.82	11.7	15.3	0	0	0	5.98	0	0	4.05	13.6	7.21	5.74	38.8	10.4	5.29	3.12	3.82	12.57	7.2	8.45	7.6	6	8.06	6.17	0	0	0	3.54	5.38	5.09	2.99	3.83	4.66	13.32	3.25
ACOXL	0	0	0	0	0	0	0	0	0	0	0	0	0	6.02	0	0	0	0	0	9.09	8.59	13.3	3.01	15.33	0	0	0	0	0	0	0	0	0	0	25.2	25.65
ACP1	0	0	0	0	7.49	0	0	0	0	0	0	0	0	0	3.28	0	0	0	0	0	0	0	0	0	0	1.38	1.88	0	0	0	0	0	0	0	8.22	9.15
ACP2	12.6	12	55	26	21.8	14.3	22.39	35.3	0	5.92	12.5	34.29	17.2	6.96	5.45	41.8	22.61	19.23	12.79	23.43	39.4	28.36	22.18	31.16	20.06	12.8	16.05	10.88	7.39	6.8	3.87	6.6	7.1	4.53	6.33	7.24
ACP5	0	0	0	0	0	0	0	0	0	0	0	0	0	26.2	0	0	0	0	0	4.09	5.93	5.09	2.33	4.92	3.51	0	0	0	0	0	0	0	4.84	7.4	15.1	12.2
ACP6	2.18	2.46	2.99	0	12.9	0	2.38	0	0	0	0	6.54	0	0	0	15.6	13.6	0	4.94	3.76	2.51	3.92	0	3.08	12.3	0	0	0	0	0	0	0	0	0	3.16	5.09
ACP7	0	0	0	0	0	7.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.9	0	0	21.3	0	0	0	0	0	0	0	0	0	0	0	0
ACPT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2.25	5.55
ACRBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.2	32	19.5	15	23.1	21.6	0	0	0	9.25	8.25	6.16	4.54	11	8.59	46.1	101
ACRV1	5.04	4.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSF2	0	0	0	0	0	0	15.6	0	0	6.07	0	0	13.7	0	2.12	16.5	19.5	22.87	3.59	0	0	0	0	0	0	0	11.62	0	6.09	6.15	8.46	5.26	2.48	5.66	15.79	21.7
ACSF3	11.06	6.81	10.31	0	26.55	0	14.56	12.7	0	8.21	13.3	0	3.45	52.94	7.34	14.96	3.23	53.93	51.78	62.84	58.53	56.01	67.8	38.93	62.7	25.74	54.59	4.17	15.03	11.9	16.36	7.57	23.59	13.73	119.52	109.42
ACSL1	2	0	0	0	0	0	0	0	0	0	0	5.46	0	0	0	0	21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28	2.23	0	0
ACSL3	5.13	2.44	0	0	17.7	0	4.23	0	0	5.67	4.59	13.78	7.2	4.13	15.55	9.55	4.98	5.22	5.69	0	0	0	0	0	0	5.74	8.62	0	4.11	3.29	5.95	2.51	2.76	5.84	22.7	21.8
ACSL4	2.14	2.4	0	0	0	0	0	0	0	2.19	0	2.14	5.23	2.95	7.55	0	0	2.65	3.97	0	0	0	0	0	0	0	0	0	2.6	3.36	3.26	5.89	0	0	50.4	51.9
ACSL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.39	6.72	0	0
ACSL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.8
ACSM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM4	0	0	0	0	0	0	0	0	0	0	0	0	8.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2	0	0	0	0	0	0	0	0	0	0	0	9.63	9.38	6.46	6.37	7.27	10.65	86.41	65.46
ACSS2	0	0	0	0	5.45	0	0	0	0	0	0	0	0	2.71	0	0	4.25	0	0	8.47	6.8	4.13	6.73	7.73	3.35	0	0	0	6.38	3.96	5.67	5.23	1.89	5.96	47	28.4
ACSS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.79	0	0	0	0	0	0	0	0	0	0	2.16	3.97
ACTA1	0	0	0	0	0	0	0	0	0	0	0	0	0	5.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTA2	0	0	0	0	0	0	0	0	0	0	0	3.82	3.08	14.5	0	7.04	6.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	22.6
ACTB	6.06	4.22	7.01	12.85	2411.15	2.61	9.83	13.69	6.36	8	8.85	10.48	8.13	10.57	3.72	19.9	14.64	11.85	8.45	13.76	13.44	10.07	14.9	15.25	13.41	24.6	28.71	9.59	4.89	6.04	4.94	5.11	5.32	7.75	26.9	35.56
ACTBL2	0	0	0	0	0	0	0	0	0	39.26	0	0	0	0	0	0	5.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.3	15.3
ACTC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.05	0	0	0	0	0	0	0	1.97	1.65	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1	0	0	0	39.7	198	8.18	13.98	19.46	4.65	1.37	1.39	0	0	1.65	2.27	5.95	2.64	3.15	3.65	3.88	10.99	12.62	5.43	4.9	5.36	5.47	4.98	4.1	4.93	5.2	1.64	0	0	1.14	14	8.82
ACTG1P17	0	0	0	0	0	10.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P20	28.2	12.42	58.4	8.41	0	11.55	15.18	0	0	3.96	2.22	7.14	2.56	1.83	15.1	11	48.9	3.41	10.91	6.21	16.82	0	0	7.32	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P4	16.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG2	0	0	0	0	0	0	0	0	0	0	0	14.58	11.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.55	0	0	0	0	0	0	0
ACTL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.5	33.1	42.8
ACTL6A	0	0	0	0	8.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0	12.5	11.2	0	0	0	27.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	4.42	3.33	1.98	9.17	223.3	0	18	0	0	8.62	17.83	9.14	9.85	8.05	9.45	25.92	22.65	14.94	15.27	1.77	1.88	4.45	1.83	1.82	7.39	22.61	45.51	26.81	16.61	14.02	12.41	18.56	14.36	20.04	61.06	129.88
ACTN1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.32	15.54
ACTN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN4	11.09	9.82	13.7	0	202.6	0	6.03	15.32	0	7.42	2.29	8.72	6.22	15.22	3.71	15.82	22.54	8.04	7.85	21.1	20.05	35.32	22.6	23.2	33.3	255.27	423.46	23.5	22.69	26.78	19.31	19.72	29.1	31.97	108.63	93.59
ACTR10	0	0	0	0	0	7.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR1A	13.36	10.95	12.62	16.7	100.48	6.77	47.16	29	0	10.1	13.67	14.59	14.65	24.88	7.44	17.25	5.91	15.95	14.79	16.68	18.36	14.15	19.9	18.2	12.7	9.55	8.87	4.84	4.04	3.77	3.53	3.56	3.81	7.65	0	3.56
ACTR1B	0	0	0	0	0	0	13.83	0	0	0	0	0	0	2.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.51	36.24
ACTR2	3.99	3.8	3.58	19.89	10.2	6.77	11.02	47.8	0	11.87	9.25	11.57	14.82	8.77	8.65	7.79	7.14	7.36	27.1	6.21	8.13	24.8	5.86	11.1	22.6	2.64	3.52	4.72	3.43	5.94	3.34	14.1	3.42	14.1	6.15	7.93
ACTR3	0	0	0	0	40.8	0	0	0	0	0	0	0	0	0	0	3.53	15.78	10.4	0	5.26	8.94	23.9	41	12.1	16.2	15.3	2.76	0	0	0	0	0	3.89	2.47	4.56	10.4
ACTR3B	0	0	0	0	0	0	6.16	0	0	4.24	4.14	0	0	3.34	9.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.7	33
ACTR3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.7	32.6
ACTR5	12.3	12.6	18.9	16.3	32	12.5	32.2	35.4	0	28.3	10.6	30.3	0	9.28	11.5	18.2	3.31	17.2	12.6	23.4	12.7	7.47	17.2	18.2	7.95	5.15	7.72	3.83	6.73	3.83	4.62	6.51	3.35	5.04	53.2	22.66
ACTR6	0	0	0	0	0	0	14.5	0	0	6.36	0	18.9	4.53	5.87	0	27	9.49	0	3.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR8	14.78	10.79	4.83	0	12.3	0	15.51	6.34	0	8.79	17.4	20.32	16.04	13.41	14.92	5.24	20.4	4.16	7.7	4.75	13	13.3	10.9	18.08	8.1	0	0	2.85	9.31	5.91	7.68	9.7	8.44	8.59	12.2	11.1
ACTRT3	19.8	10.9	5.2	9.17	0	0	12.8	0	0	25.72	10.7	29.19	31.4	37.7	0	19.8	6.24	28.4	41.28	3.9	0	0	0	2.66	0	0	0	0	0	0	0	0	0	0	27.3	36
ACVR1	19.7	16	32.3	72	56.5	16.8	20.3	13.8	20.7	54.3	8.06	30.6	16.3	24.7	29.3	8.6	6.62	14.8	13.8	51.4	38.7	19.8	45.6	40.3	16.3	2.33	2.25	3.01	7.71	9.58	4.98	10.1	4.67	11.7	0	0
ACVR1B	20.1	17.7	21.9	6.12	19.7	0	72.13	19.8	0	6.18	15.1	18.1	32.7	16.27	11.7	17.9	20.76	18.07	19.77	21.15	25.13	21.79	29.42	32.59	11.2	5.07	10	7.2	9.06	10.58	7.74	9.29	6.05	7.74	16.4	23.71
ACVR1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8	0
ACVR2A	18.5	15.7	10.9	19	0	0	51.6	0	0	44.5	26.4	30.7	28.7	36.6	23.7	42	14.4	12.5	15.1	3.59	5.76	0	3.04	6.65	14.7	0	0	0	0	0	0	0	0	5.04	13.7	0
ACVR2B	10.2	11.6	11.09	18.34	0	0	34.25	0	0	10.91	14.3	17.4	0	10.6	7.83	0	0	8.32	8.54	22.4	18.78	19.63	20.38	25.1	19.47	0	0	0	5.91	6.26	6.46	11.64	0	0	6	13.4
ACVR2B-AS1	0	0	0	0	0	9.93	0	0	0	0	0	0	0	16.3	6.35	0	0	0	0	12.17	5.28	3.39	12.3	3.4	3.68	0	0	0	2.7	7.79	3.45	0	0	0	6.84	8.24
ACVRL1	0	0	0	0	0	6.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4
ACY1	0	0	0	0	0	0	4.85	0	0	0	0	0	0	4.06	0	2.5	0	0	0	0	2.23	0	0	0	2.66	0	15.5	0	0	0	0	0	0	0	31.3	47.6
ACYP1	3.45	2.06	0	0	0	0	5.78	0	0	3.88	0	0	9.57	4.16	20.6	0	2.55	3.24	4.31	2.81	3.79	2.95	4.35	3.19	0	0	2.16	0	2.42	1.74	2.03	1.95	0	0	0	0
ACYP2	6.59	2.57	16.1	0	0	0	0	0	0	0	0	0	0	0	0	11.4	7.36	9.71	8.98	7.3	5.63	10.3	9.58	11	10.6	7.81	10.3	0	0	3.85	5.97	7.68	0	0	20	23.2
ADA	0	0	0	0	0	0	3.52	0	0	0	0	0	8.84	4.06	0	0	5.38	0	0	0	4.64	7.08	7.3	4.79	3.39	20.7	61	0	4.12	5.83	4.97	6.03	10.9	14.72	181.21	201.09
ADAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAL	0	0	0	0	0	0	0	0	0	0	0	0	0	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM10	11.77	6.07	0	11.2	0	9.36	10.5	0	0	4.83	13.4	21.4	4.89	17.91	10.96	10.86	39.85	14.74	9.61	48.9	29.3	59.3	68.4	22.1	59.6	0	4.24	0	5.16	10.39	12.26	6.94	9.35	6.05	31.7	22
ADAM11	9.03	6.95	11.7	0	0	0	7.31	0	0	25.13	0	0	0	19.9	5.7	0	0	0	11.7	6.21	16.3	19.5	7.75	9.32	19.1	0	0	0	0	4.13	2.88	0	0	0	11.63	12.24
ADAM12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18.6
ADAM15	2.12	0	4.46	0	57.8	0	1.65	0	0	2.58	0	0	0	0	0	0	0	4.25	4.08	0	3.85	2.72	3.73	3.24	0	111	100	0	0	1.88	1.85	4.49	0	0	46.63	29.63
ADAM17	30.72	11.8	85	57.2	100	8.21	37.4	57.7	0	8.25	18.8	17.48	21.77	16.5	14.7	18.41	15.28	32.1	24.6	24.2	44.2	23.3	40.5	38.8	27.9	4.63	10.67	6.37	9.4	10.99	9.23	10.59	3.84	8.57	5.16	5.61
ADAM19	0	0	0	0	0	0	0	0	0	0	0	2.68	7.77	0	0	3.9	7.22	3.75	2.49	0	4.3	9.44	3.67	3.01	9.62	0	0	0	0	0	0	0	5.76	6.54	14.51	28.17
ADAM1A	44.12	45.87	69.13	25.2	0	0	46.2	0	0	32.97	0	31.04	0	71	69.56	0	0	18.03	44.37	18.07	4.71	24.75	41.58	21.93	31.4	0	0	0	0	0	11.3	0	11	22.7	0	0
ADAM20P1	0	0	0	0	0	0	0	0	0	0	0	0	0	11.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM22	17.06	9.72	0	0	0	0	0	0	0	0	8.41	0	0	51.6	15.33	0	0	0	12.6	3.72	4.11	24.8	5.47	8.11	0	0	0	0	0	0	18.41	14.9	0	0	130.61	369.43
ADAM23	21.86	10.6	9.64	0	0	0	0	0	0	0	27.8	37.6	19.4	26.1	25.06	12	36.5	50.6	35.1	12.04	7.28	8.85	8.21	17.04	0	0	0	0	0	0	0	0	0	0	24.5	12.8
ADAM28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM33	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8	0	0	0	0	0	60.47	14.17	23.05	7.3	11.76	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79	9.73	5.93	0	0	0	0	0	0	0	0	0	7.13	5.83	18	11.43
ADAM9	2.04	0	0	8.83	2.87	0	6.4	0	0	3.82	0	5.1	9.02	0	12.4	5.54	7.5	2.61	1.47	0	2.93	7.33	0	0	7.07	0	5.34	0	0	0	0	0	2.86	2.75	0	1.79
ADAMTS1	28.46	20.5	52.88	34	40.15	30.7	62.35	49.9	0	16.58	14.2	33.61	24.77	28.47	26	0	0	0	0	32.86	22.08	27	27.8	39.28	20.98	0	0	0	15.84	14.22	16.13	14.29	0	0	72.9	44.6
ADAMTS10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7	0	0	0	9.25	0	9.29	6.27	16.5	0	74.8	161.8
ADAMTS12	0	0	0	0	0	0	0	0	0	0	20.28	33.3	21.86	37.9	11.5	0	0	22.68	18	16.9	16.19	8.26	15.31	14.21	12.41	0	0	0	0	0	0	0	0	0	0	7.48
ADAMTS13	0	0	0	0	0	0	0	0	0	9.83	0	0	0	0	0	0	0	0	12.6	8.76	4.33	11.5	0	4.26	6.26	0	0	0	3.7	0	0	0	0	0	14.13	11.19
ADAMTS14	0	0	0	0	0	0	0	0	0	0	0	47.2	22.5	9.94	9.08	0	0	0	0	36.1	43.89	73.4	30.1	38.7	36.73	0	0	0	0	0	0	0	0	6.88	0	0
ADAMTS15	76.82	62.64	577.2	13.9	36.07	0	46.2	18.1	0	28.3	0	7.03	16.3	60.87	14.92	107.88	38.34	64.79	42.79	106.8	151.83	83.91	113.5	149.37	174.67	10.7	33.9	0	10.8	11	0	0	0	0	130.52	279.16
ADAMTS16	0	0	0	0	0	0	0	0	0	0	0	0	0	21.7	0	0	0	0	9.88	11.7	8.48	21.2	17.1	4.88	0	0	0	0	0	0	0	0	0	0	52.53	27.6
ADAMTS17	19.4	20.74	0	0	0	15.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.9	5.75	0	12	34.41	0	0	0	10	0	0	0	7.01	0	46.64	31.71
ADAMTS18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.42	0	0	0	0	0	0	0	0	0	0	0	0	0	77	86.7
ADAMTS19	3.84	0	0	0	0	0	0	0	0	0	16.85	0	0	9.01	4.64	0	0	0	0	0	0	4.87	0	0	0	0	0	0	0	0	0	0	0	0	137	118
ADAMTS2	9.64	0	0	0	0	3.33	0	0	0	0	0	35.5	61.76	0	22.4	0	0	0	0	10.2	22.01	24.8	12.3	17.25	7.36	0	0	0	0	0	0	0	0	0	41.7	18.61
ADAMTS3	35.56	23.52	13.5	0	0	0	0	0	0	33	0	0	36.6	19.92	31.5	0	0	0	0	0	8.67	0	0	6.65	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS4	0	0	0	0	0	6.26	0	0	0	0	15.7	0	0	45.2	16.9	0	0	0	0	44.78	24.87	0	18.41	19.95	16.93	0	0	0	0	0	0	0	4.67	0	10.8	12.8
ADAMTS5	0	0	0	67.2	33.32	13	128.28	12.7	0	56.2	0	12.6	0	10.8	56.9	0	0	0	0	9.49	69.9	0	8.66	53.41	17.7	0	0	0	0	0	0	0	0	0	215	161
ADAMTS6	9.95	3.62	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	15.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS7	41.53	17.8	62.3	0	0	0	20.8	0	0	0	15.43	0	23.45	52.53	36.84	29.34	22.2	35.4	35.5	72.6	62.7	90.5	60.2	54.7	45.1	18.4	13.7	0	32.8	32.1	29.9	7.36	0	0	135.02	143.07
ADAMTS7P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4	11	0	13.3	0	0	0	0
ADAMTS8	0	0	0	0	0	0	0	0	0	0	33.6	0	0	19.3	0	0	0	0	0	62.9	67.2	58	44.8	72.4	76.7	0	0	0	0	0	0	0	0	0	193.91	179.87
ADAMTS9	34.94	15.28	0	0	0	0	0	0	0	0	0	0	0	0	18.13	0	0	30.51	19.27	0	16.3	0	0	0	19.1	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL1	0	0	0	0	0	0	0	0	0	0	0	24.64	32.07	0	0	0	0	0	0	0	14.6	0	0	0	0	0	0	0	0	0	0	0	0	0	16.6	17.1
ADAMTSL2	0	0	0	0	0	10.8	0	0	0	0	0	0	0	0	0	0	0	0	0	20.4	10.22	15.9	19.2	32.3	0	0	0	0	0	0	13.3	14.9	0	0	0	0
ADAMTSL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL4	0	0	0	12.6	9.87	0	9.02	10.9	0	0	0	0	0	10.8	0	0	0	0	0	25.96	14.61	26.5	10.3	21.17	5.52	0	0	0	0	0	0	0	5.66	13.42	12.42	32.74
ADAMTSL5	8.08	0	0	11.6	19.7	4.66	14.1	0	0	16.2	0	0	0	0	0	0	11.9	18.7	10.8	0	0	0	0	0	0	0	0	0	0	3.21	4.25	0	0	0	0	9.15
ADAP1	5.54	8.09	37.3	0	0	0	8.64	0	0	3.72	0	0	0	23	9.08	0	0	6.71	0	27.1	21.6	12.9	31.3	26.9	13.6	0	0	0	3.98	3.18	4.34	2.95	20.21	5.33	324.32	319.58
ADAP2	14.8	30.3	19.57	0	0	0	0	0	0	33	0	0	0	0	0	0	34	29.8	27.89	0	0	0	0	14.6	0	0	0	0	0	0	0	0	0	0	168	98.44
ADAR	25.5	20.94	38.4	76.64	195.54	24.67	58.68	68.83	6.4	16.18	23.89	28.7	26.97	21.85	18.96	47.04	46.58	23.94	17.14	23.86	27.73	14.51	21.87	28.07	17.22	15.06	13.7	16.41	22.61	9.93	9.9	14.19	15.08	18.77	23.02	27.68
ADARB1	35.53	22.38	251.39	57.3	277.62	25.43	34.4	89.79	9.68	14.94	9.28	0	54.26	21.7	17.79	18.89	28.9	25	42.54	13.31	37.72	16.1	42.5	30.61	36.85	0	0	0	14.1	12.6	15.97	16.11	19.83	8.25	23	50.29
